subject,predicate,object
kwg-ont:Hospital,kwg-ont:hospitalStatus,kwg-ont:HospitalStatus
time:Instant,time:inXSDDateTime,xsd:dateTime
kwg-ont:NIFCPrescribedFire,rdfs:subClassOf,kwg-ont:PrescribedFire
usgs:Woodland,rdfs:subClassOf,usgs:Forest
kwgr:impactObservableProperty.damageCrop,rdfs:subClassOf,kwg-ont:ImpactObservableProperty
kwgr:impactObservableProperty.damageProperty,rdfs:subClassOf,kwg-ont:ImpactObservableProperty
kwgr:impactObservableProperty.deathDirect,rdfs:subClassOf,kwg-ont:ImpactObservableProperty
kwgr:impactObservableProperty.deathIndirect,rdfs:subClassOf,kwg-ont:ImpactObservableProperty
kwgr:impactObservableProperty.injuryDirect,rdfs:subClassOf,kwg-ont:ImpactObservableProperty
kwgr:impactObservableProperty.injuryIndirect,rdfs:subClassOf,kwg-ont:ImpactObservableProperty
kwg-ont:VulnerabilityObservation,sosa:hasSimpleResult,rdfs:literal
kwg-ont:Hospital,kwg-ont:helipadAvailability,kwg-ont:HelipadAvailability
kwg-ont:StormTrack,kwg-ont:hasStormTracklet,kwg-ont:StormTracklet
usgs:Terrain,rdfs:subClassOf,geo:SpatialObject
kwg-ont:JudgeInfo,kwg-ont:nominatedBy,kwg-ont:USPresident
kwg-ont:AdministrativeRegion_1,kwg-ont:sfWithin,kwg-ont:AdministrativeRegion_0
kwg-ont:CensusACS5YearEstimatesObservationCollection,sosa:phenomenonTime,time:Interval
kwg-ont:StormTrack,kwg-ont:hasStormTrack,kwg-ont:NOAAHazard
kwg-ont:MagnitudeObservationCollection,rdfs:subClassOf,kwg-ont:MagnitudeObservation
kwg-ont:NIFCWildfire,rdfs:subClassOf,kwg-ont:NIFCFire
kwg-ont:Hospital,kwg-ont:hospitalName,rdfs:literal
kwg-ont:Hospital,kwg-ont:hospitalAddress,rdfs:literal
kwg-ont:Hospital,kwg-ont:telephoneNo,rdfs:literal
kwg-ont:Hospital,kwg-ont:website,rdfs:literal
kwg-ont:Hospital,kwg-ont:zipCode,rdfs:literal
usgs:Arroyo,rdfs:subClassOf,usgs:SurfaceWater
usgs:Bay,rdfs:subClassOf,usgs:SurfaceWater
usgs:Bend,rdfs:subClassOf,usgs:SurfaceWater
usgs:Channel,rdfs:subClassOf,usgs:SurfaceWater
usgs:Glacier,rdfs:subClassOf,usgs:SurfaceWater
usgs:Gut,rdfs:subClassOf,usgs:SurfaceWater
usgs:Lake,rdfs:subClassOf,usgs:SurfaceWater
usgs:Rapids,rdfs:subClassOf,usgs:SurfaceWater
usgs:Reservoir,rdfs:subClassOf,usgs:SurfaceWater
usgs:Spring,rdfs:subClassOf,usgs:SurfaceWater
usgs:Stream,rdfs:subClassOf,usgs:SurfaceWater
usgs:Swamp,rdfs:subClassOf,usgs:SurfaceWater
